,unix_ts,timestamp,total_calls,marcadores,dest_nums,dest_nums_flat,avg_dur,avg_dur_flat,nums_bloq,dur_iter
0,1732720427.340709,2024-11-27 10:13:47.340709,559862,2,72450,30445,308.81238387926476,210.140753161473,1,
1,1732720846.835826,2024-11-27 10:20:46.835826,560337,2,72450,30449,308.8075552863016,210.09244219571644,1,
2,1732721146.858686,2024-11-27 10:25:46.858686,560660,2,72451,30443,308.79848152646616,210.18089348707872,1,
3,1732721447.006412,2024-11-27 10:30:47.006412,561011,2,72451,30445,308.81116910389534,210.19968996825773,1,
4,1732721747.038079,2024-11-27 10:35:47.038079,561575,2,72453,30410,308.7019915444009,210.1025615996428,1,
5,1732722096.099003,2024-11-27 10:41:36.099003,561961,2,72454,30414,308.68411526989166,210.23500006886118,1,
6,1732722396.073593,2024-11-27 10:46:36.073593,562346,2,72454,30408,308.6733312298121,210.33415011983814,1,
7,1732722696.082425,2024-11-27 10:51:36.082425,562705,2,72456,30404,308.6543746804801,210.38680214085062,1,
8,1732722996.085738,2024-11-27 10:56:36.085738,563062,2,72456,30427,308.64259928344575,210.4272144109804,1,
9,1732723296.098845,2024-11-27 11:01:36.098845,563533,2,72456,30421,308.6478872634034,210.21627768098128,1,
10,1732723596.112972,2024-11-27 11:06:36.112972,563960,2,72456,30409,308.65383162297724,210.2204518788572,1,
11,1732723896.115809,2024-11-27 11:11:36.115809,564306,2,72456,30408,308.6332712433568,210.24783463205503,1,
12,1732724196.120094,2024-11-27 11:16:36.120094,564686,2,72457,30402,308.6139050294947,210.16900276968568,1,
13,1732724496.176434,2024-11-27 11:21:36.176434,565034,2,72459,30403,308.6013753117987,210.28507798399434,1,
14,1732724796.197237,2024-11-27 11:26:36.197237,565378,2,72459,30381,308.58975307052503,210.24218984129766,1,
15,1732725096.200279,2024-11-27 11:31:36.200279,565676,2,72459,30377,308.58579540213486,210.21085256536156,1,
16,1732725396.395961,2024-11-27 11:36:36.395961,566010,2,72459,30373,308.5949215145486,210.226109817577,1,
17,1732725696.512335,2024-11-27 11:41:36.512335,566365,2,72460,30371,308.59301166283547,210.18966886632398,1,
18,1732726113.412481,2024-11-27 11:48:33.412481,566874,2,72460,21414,308.6027411376377,166.84084089164725,1,
19,1732726481.528237,2024-11-27 11:54:41.528237,567325,2,72462,21412,308.6097557268902,166.73693012429376,1,
20,1732726782.234422,2024-11-27 11:59:42.234422,567696,2,72463,21403,308.5985616058833,166.71275333778803,1,
